Folder,Station,Latitude,Longitude,RecordLen_Hours,StartDate,EndDate,PC_missing_original,PC_missing_qcd,PC_removed,rain_original,rain_qcd,PC_rain_removed,QC_NYears_Q95_EQ_0,QC_NYears_Q99_EQ_0,QC_NYears_K1_EQ_0,QC_NYears_K5_EQ_0,QC_NYears_K10_EQ_0,QC_UnevenDist_DaysOfWeek,QC_UnevenDist_HoursOfDay,QC_NYears_IntermittencyIssues,QC_BreakPoint_PFlag,QC_BreakPoint_Magnitude,QC_NYears_R99pTOT_GT_50PC,QC_NYears_PRCPTOT_GT_50PC,QC_NYears_MinValChanges,QC_PC_HourlyNeighbours_HighFlag,QC_PC_HourlyNeighboursDry_HighFlag,QC_PC_DailyNeighbours_HighFlag,QC_PC_DailyNeighboursDry_HighFlag,QC_PC_HourlyNeighbours_LowerFlag,QC_PC_HourlyNeighboursDry_LowerFlag,QC_PC_DailyNeighbours_LowerFlag,QC_PC_DailyNeighboursDry_LowerFlag,QC_PC_MonthlyNeighbours_GT25PC_LE100PC_MOD,QC_PC_MonthlyNeighbours_LowTotal,QC_PC_MonthlyNeighbours_HighTotal,QC_PC_MonthlyNeighbours_HighTotal_ClimatologyOnly,QC_Num_WorldRecord_LE50PC,QC_Num_WorldRecord_GT50PC,QC_PC_Rx1day_LE50PC,QC_PC_Rx1day_GT50PC,QC_PC_CDD,QC_PC_DailyAccumulations,QC_PC_MonthlyAccumulations,QC_PC_Streaks,QC_PC_FactorMonthly,PC_Daily&MonthlyAccumulations,PC_DailyAccumulations_&_Rx1day,PC_Rx1day_&_HourlyNeighbours,PC_Rx1day_&_WorldRecordAll,PC_Rx1day_&_WorldRecordAll_&_HourlyNeighbours,PC_WorldRecordAll_&_HourlyNeighbours,PC_HourlyNeighbours_&_HourlyNeighboursDry,TotalRain,PC_rain_HourlyNeighbours,PC_rain_HourlyNeighboursDry,PC_rain_DailyNeighbours,PC_rain_DailyNeighboursDry,PC_rain_MonthlyNeighbours_GT25PC_LE100PC_MOD,PC_rain_MonthlyNeighbours_LowTotal,PC_rain_MonthlyNeighbours_HighTotal,PC_rain_MonthlyNeighbours_HighTotal_ClimatologyOnly,Rain_WorldRecord_LE50PC,Rain_WorldRecord_GT50PC,PC_rain_Rx1day_LE50PC,PC_rain_Rx1day_GT50PC,PC_rain_CDD,PC_rain_DailyAccumulations,PC_rain_MonthlyAccumulations,PC_rain_Streaks,PC_rain_FactorMonthly,PC_rain_Daily&MonthlyAccumulations,PC_rain_DailyAccumulations_&_Rx1day,PC_rain_Rx1day_&_HourlyNeighbours,PC_rain_Rx1day_&_WorldRecordAll,PC_rain_Rx1day_&_WorldRecordAll_&_HourlyNeighbours,PC_rain_WorldRecordAll_&_HourlyNeighbours,PC_rain_HourlyNeighbours_&_HourlyNeighboursDry
NED,ams126,52.36058,4.97954,18264,01/05/2016 01:00,01/06/2018 00:00,8.93014,9.05607,0.12593,2507.297,2407.75883,3.96994,0,0,0,0,0,0,0,0,-999,nan,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01643,0.10951,0,0.52562,0,0,0,0,0,0,0,0,0,0,2407.75883,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0358,0,0,0,0,0,0,0,0,0,0
NED,ams127,52.24767,4.99407,18264,01/05/2016 01:00,01/06/2018 00:00,8.16908,8.16908,0,1438.442,1438.442,0,0,0,0,0,0,0,0,1,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1438.442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams128,52.42701,4.99602,18264,01/05/2016 01:00,01/06/2018 00:00,30.17959,30.19601,0.01643,1384.609,1354.006,2.21023,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0.13141,0,0,0,0.39422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.006,0.32821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams129,52.2629,5.02807,18264,01/05/2016 01:00,01/06/2018 00:00,86.65681,86.65681,0,192.809,192.809,0,0,0,0,0,0,0,0,1,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,192.809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams13,52.26075,4.72102,18264,01/05/2016 01:00,01/06/2018 00:00,1.0403,1.0403,0,1619.636,1619.636,0,0,0,0,0,0,0,0,1,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.78844,0,0,0,0,0,0,0,0,0,0,1619.636,0,0,0,0,0,0,0,0,0,0,0,0,0,0.90422,0,0,0,0,0,0,0,0,0,0
NED,ams130,52.31311,5.03076,18264,01/05/2016 01:00,01/06/2018 00:00,93.73631,93.73631,0,58.176,58.176,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NED,ams131,52.30725,5.03203,18264,01/05/2016 01:00,01/06/2018 00:00,78.21945,78.21945,0,289.87,289.87,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26281,0,0,0,0,0,0,0,0,0,0,289.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13937,0,0,0,0,0,0,0,0,0,0
NED,ams132,52.43142,5.03566,18264,01/05/2016 01:00,01/06/2018 00:00,46.2385,46.2385,0,816.888,816.888,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26281,0,0,0,0,0,0,0,0,0,0,816.888,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14837,0,0,0,0,0,0,0,0,0,0
NED,ams133,52.30169,5.04116,18264,01/05/2016 01:00,01/06/2018 00:00,45.55957,45.55957,0,856.48,856.48,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0.39422,0,0,0,0,0,0,0,0,0,0,0,0,0.26281,0,0,0,0,0,0,0,0,0,0,856.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10613,0,0,0,0,0,0,0,0,0,0
NED,ams134,52.26345,5.04502,18264,01/05/2016 01:00,01/06/2018 00:00,0.01643,0.01643,0,1702.355,1702.355,0,0,0,0,0,0,0,0,0,-999,nan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.52562,0,0,0,0,0,0,0,0,0,0,1702.355,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97894,0,0,0,0,0,0,0,0,0,0
